date,description,amount,category
2024-01-01,Food delivery Swiggy,450.00,Food
2024-01-02,Monthly salary January,85000.00,Income
2024-01-03,Cab Uber,320.00,Transport
2024-01-04,Amazon online shopping,1200.00,Shopping
2024-01-05,Cloud hosting AWS,5400.00,Infrastructure
2024-01-06,Grocery Zepto,890.00,Groceries
2024-01-08,Swiggy food order,380.00,Food
2024-01-09,Project A client invoice,45000.00,Income
2024-01-10,Uber cab ride,210.00,Transport
2024-01-11,Electricity Jan bill,2300.00,Utilities
2024-01-13,Google Workspace monthly,720.00,Software
2024-01-15,Project B payment received,30000.00,Income
2024-01-16,Office supplies,1500.00,Office
2024-01-17,Team lunch,3200.00,Food
