date,narration,amount,type
2024-09-25,Team lunch 8007,6447.39,debit
2025-07-27,Razorpay settlement 4878,48822.67,credit
2024-09-30,Flipkart order #6766,2009.71,debit
2024-08-25,Slack subscription,1772.68,debit
2025-10-29,Figma subscription,1364.82,debit
2024-05-11,Slack subscription,864.44,debit
2024-08-01,Airtel broadband,626.47,debit
2024-12-09,Zoom subscription,1676.1,debit
2025-04-27,Freelance payment 4285,55726.24,credit
2024-10-31,Electricity bill 6071,2791.3,debit
2024-10-30,Jio recharge,385.71,debit
2026-01-12,Team lunch 4666,2542.65,debit
2025-04-30,Client payment 4176,178481.72,credit
2024-11-05,Slack subscription,687.63,debit
2024-09-28,GitHub subscription,652.13,debit
2025-01-12,Medical reimbursement,1441.18,debit
2025-09-19,UPI transfer #9078,33693.74,debit
2025-12-22,Jio recharge,242.86,debit
2024-09-24,Myntra order #5318,2491.99,debit
2025-08-29,UPI transfer #4640,4798.75,debit
2025-04-16,Airtel broadband,616.57,debit
2025-12-24,Office supplies,1673.03,debit
2025-09-14,Razorpay settlement 5234,42520.25,credit
2025-10-08,Google Workspace,870.96,debit
2024-04-12,Flipkart order #6527,934.01,debit
2024-02-25,Team lunch 9185,4969.33,debit
2025-12-12,Interest credit,1719.14,credit
2026-02-24,Client payment 6421,92394.85,credit
2025-11-17,Razorpay settlement 4129,37782.12,credit
2025-01-06,Salary credit 6426,124252.36,credit
2025-08-15,BigBasket order,1372.15,debit
2024-07-23,UPI transfer #9055,49894.62,debit
2026-04-29,Client payment 4452,162973.11,credit
2024-11-01,NEFT transfer 8596,14312.41,credit
2025-09-01,Razorpay settlement 5747,27712.82,credit
2024-04-28,Jio recharge,501.99,debit
2024-12-18,Slack subscription,838.47,debit
2024-11-11,Flipkart order #7208,464.51,debit
2025-08-08,Amazon purchase,3960.72,debit
2024-06-09,Microsoft Azure 9941,6737.72,debit
2024-11-30,Flight booking 3543,7091.58,debit
2024-06-11,Swiggy order #4159,632.1,debit
2025-03-07,IMPS payment 2361,7124.5,debit
2025-06-11,Amazon purchase,4617.53,debit
2024-01-23,Refund credit 7628,3396.19,credit
2024-09-27,Medical reimbursement,2238.43,debit
2024-12-29,Zomato order #5536,574.33,debit
2024-03-24,Razorpay settlement 9055,16059.28,credit
2024-10-01,Spotify premium,121.51,debit
2025-04-28,Flight booking 4944,8143.49,debit
2025-06-07,Client payment 7046,173055.62,credit
2025-05-17,Zoom subscription,1794.05,debit
2024-07-17,BigBasket order,1591.31,debit
2024-06-21,Spotify premium,156.57,debit
2024-11-06,Amazon purchase,3229.19,debit
2024-04-25,Flipkart order #5524,251.48,debit
2025-05-05,AWS invoice 7377,6567.97,debit
2024-01-21,Salary credit 3837,50889.8,credit
2024-05-29,Medical reimbursement,579.48,debit
2024-12-06,NEFT transfer 5252,56699.63,credit
2025-05-31,Freelance payment 1612,18621.34,credit
2025-03-16,Slack subscription,515.82,debit
2024-06-01,Netflix subscription,582.09,debit
2026-04-01,Team lunch 6883,6769.08,debit
2025-01-30,Medical reimbursement,4424.51,debit
2024-08-05,Flight booking 5198,9519.42,debit
2026-02-16,Client payment 1113,176656.57,credit
2025-12-28,Airtel broadband,988.7,debit
2025-09-22,Electricity bill 9580,4791.9,debit
2024-12-23,Medical reimbursement,4319.38,debit
2024-03-25,Microsoft Azure 9376,7211.7,debit
2024-01-29,Zepto groceries,1790.97,debit
2024-07-07,Hotel stay 2240,5829.39,debit
2026-03-18,BigBasket order,1383.1,debit
2025-02-04,Airtel broadband,681.17,debit
2024-11-10,IMPS payment 7869,6290.47,debit
2024-09-02,Myntra order #5683,912.78,debit
2025-04-30,BigBasket order,2862.66,debit
2025-02-03,Myntra order #6830,1508.24,debit
2024-06-28,Airtel broadband,962.12,debit
2025-04-23,Ola cab 4357,376.69,debit
2025-11-01,Hotel stay 4854,3191.65,debit
2025-03-28,BigBasket order,1141.11,debit
2024-04-18,Salary credit 4258,79844.48,credit
2025-05-01,Microsoft Azure 8156,14710.12,debit
2025-06-24,Myntra order #6526,2871.91,debit
2026-04-03,Uber ride 7586,259.01,debit
